ICD10CMCODE,DiagnosisDesc,TotalDiag,PrimaryDiag,SecondDiag
A00.0,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE",5,1,4
A00.9,"CHOLERA, UNSPECIFIED",4,1,3
A01.00,"TYPHOID FEVER, UNSPECIFIED",56,27,29
A01.01,TYPHOID MENINGITIS,1,,1
A01.02,TYPHOID FEVER WITH HEART INVOLVEMENT,1,,1
A01.09,TYPHOID FEVER WITH OTHER COMPLICATIONS,20,8,12
A01.4,"PARATYPHOID FEVER, UNSPECIFIED",3,1,2
A02.0,SALMONELLA ENTERITIS,750,398,352
A02.1,SALMONELLA SEPSIS,280,255,25
A02.21,SALMONELLA MENINGITIS,3,,3
A02.22,SALMONELLA PNEUMONIA,1,,1
A02.23,SALMONELLA ARTHRITIS,2,1,1
A02.24,SALMONELLA OSTEOMYELITIS,4,4,
A02.25,SALMONELLA PYELONEPHRITIS,5,,5
A02.29,SALMONELLA WITH OTHER LOCALIZED INFECTION,6,,6
A02.8,OTHER SPECIFIED SALMONELLA INFECTIONS,54,14,40
A02.9,"SALMONELLA INFECTION, UNSPECIFIED",198,51,147
A03.0,SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE,43,22,21
A03.1,SHIGELLOSIS DUE TO SHIGELLA FLEXNERI,29,18,11
A03.3,SHIGELLOSIS DUE TO SHIGELLA SONNEI,42,27,15
A03.8,OTHER SHIGELLOSIS,41,18,23
A03.9,"SHIGELLOSIS, UNSPECIFIED",393,179,214
A04.0,ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION,142,58,84
A04.1,ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION,45,23,22
A04.2,ENTEROINVASIVE ESCHERICHIA COLI INFECTION,32,13,19
A04.3,ENTEROHEMORRHAGIC ESCHERICHIA COLI INFECTION,48,33,15
A04.4,OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS,387,157,230
A04.5,CAMPYLOBACTER ENTERITIS,864,376,488
A04.6,ENTERITIS DUE TO YERSINIA ENTEROCOLITICA,30,11,19
A04.71,"ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE, RECURRENT",4336,1584,2752
A04.72,"ENTEROCOLITIS D/T CLOSTRIDIUM DIFFICILE, NOT SPCF AS RECUR",24983,5349,19634
A04.8,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,950,135,815
A04.9,"BACTERIAL INTESTINAL INFECTION, UNSPECIFIED",717,334,383
A05.0,FOODBORNE STAPHYLOCOCCAL INTOXICATION,9,6,3
A05.1,BOTULISM FOOD POISONING,22,7,15
A05.2,FOODBORNE CLOSTRIDIUM PERFRINGENS INTOXICATION,3,,3
A05.3,FOODBORNE VIBRIO PARAHAEMOLYTICUS INTOXICATION,1,,1
A05.4,FOODBORNE BACILLUS CEREUS INTOXICATION,1,,1
A05.5,FOODBORNE VIBRIO VULNIFICUS INTOXICATION,1,,1
A05.8,OTHER SPECIFIED BACTERIAL FOODBORNE INTOXICATIONS,25,12,13
A05.9,"BACTERIAL FOODBORNE INTOXICATION, UNSPECIFIED",267,132,135
A06.0,ACUTE AMEBIC DYSENTERY,18,8,10
A06.1,CHRONIC INTESTINAL AMEBIASIS,6,1,5
A06.2,AMEBIC NONDYSENTERIC COLITIS,2,,2
A06.3,AMEBOMA OF INTESTINE,5,1,4
A06.4,AMEBIC LIVER ABSCESS,20,8,12
A06.82,OTHER AMEBIC GENITOURINARY INFECTIONS,1,,1
A06.89,OTHER AMEBIC INFECTIONS,2,,2
A06.9,"AMEBIASIS, UNSPECIFIED",11,4,7
A07.0,BALANTIDIASIS,1,,1
A07.1,GIARDIASIS [LAMBLIASIS],173,39,134
A07.2,CRYPTOSPORIDIOSIS,148,34,114
A07.3,ISOSPORIASIS,29,3,26
A07.4,CYCLOSPORIASIS,9,2,7
A07.8,OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES,16,6,10
A07.9,"PROTOZOAL INTESTINAL DISEASE, UNSPECIFIED",2,,2
A08.0,ROTAVIRAL ENTERITIS,266,145,121
A08.11,ACUTE GASTROENTEROPATHY DUE TO NORWALK AGENT,676,279,397
A08.19,ACUTE GASTROENTEROPATHY DUE TO OTHER SMALL ROUND VIRUSES,60,9,51
A08.2,ADENOVIRAL ENTERITIS,130,48,82
A08.31,CALICIVIRUS ENTERITIS,1,,1
A08.32,ASTROVIRUS ENTERITIS,20,7,13
A08.39,OTHER VIRAL ENTERITIS,867,307,560
A08.4,"VIRAL INTESTINAL INFECTION, UNSPECIFIED",10501,4367,6134
A08.8,OTHER SPECIFIED INTESTINAL INFECTIONS,172,23,149
A09.,"INFECTIOUS GASTROENTERITIS AND COLITIS, UNSPECIFIED",5233,2002,3231
A15.0,TUBERCULOSIS OF LUNG,1422,661,761
A15.4,TUBERCULOSIS OF INTRATHORACIC LYMPH NODES,2,2,
A15.5,"TUBERCULOSIS OF LARYNX, TRACHEA AND BRONCHUS",6,1,5
A15.6,TUBERCULOUS PLEURISY,103,53,50
A15.7,PRIMARY RESPIRATORY TUBERCULOSIS,62,42,20
A15.8,OTHER RESPIRATORY TUBERCULOSIS,23,6,17
A15.9,RESPIRATORY TUBERCULOSIS UNSPECIFIED,728,179,549
A17.0,TUBERCULOUS MENINGITIS,73,27,46
A17.1,MENINGEAL TUBERCULOMA,2,,2
A17.81,TUBERCULOMA OF BRAIN AND SPINAL CORD,20,7,13
A17.82,TUBERCULOUS MENINGOENCEPHALITIS,17,6,11
A17.89,OTHER TUBERCULOSIS OF NERVOUS SYSTEM,1,1,
A17.9,"TUBERCULOSIS OF NERVOUS SYSTEM, UNSPECIFIED",5,,5
A18.01,TUBERCULOSIS OF SPINE,201,33,168
A18.02,TUBERCULOUS ARTHRITIS OF OTHER JOINTS,22,6,16
A18.03,TUBERCULOSIS OF OTHER BONES,7,,7
A18.09,OTHER MUSCULOSKELETAL TUBERCULOSIS,4,,4
A18.10,"TUBERCULOSIS OF GENITOURINARY SYSTEM, UNSPECIFIED",5,1,4
A18.11,TUBERCULOSIS OF KIDNEY AND URETER,19,4,15
A18.12,TUBERCULOSIS OF BLADDER,7,1,6
A18.13,TUBERCULOSIS OF OTHER URINARY ORGANS,3,1,2
A18.15,TUBERCULOSIS OF OTHER MALE GENITAL ORGANS,3,,3
A18.17,TUBERCULOUS FEMALE PELVIC INFLAMMATORY DISEASE,3,,3
A18.2,TUBERCULOUS PERIPHERAL LYMPHADENOPATHY,64,22,42
A18.31,TUBERCULOUS PERITONITIS,43,14,29
A18.32,TUBERCULOUS ENTERITIS,31,8,23
A18.39,RETROPERITONEAL TUBERCULOSIS,8,2,6
A18.4,TUBERCULOSIS OF SKIN AND SUBCUTANEOUS TISSUE,11,1,10
A18.50,"TUBERCULOSIS OF EYE, UNSPECIFIED",7,3,4
A18.53,TUBERCULOUS CHORIORETINITIS,2,,2
A18.54,TUBERCULOUS IRIDOCYCLITIS,3,1,2
A18.59,OTHER TUBERCULOSIS OF EYE,3,,3
A18.6,TUBERCULOSIS OF (INNER) (MIDDLE) EAR,1,,1
A18.7,TUBERCULOSIS OF ADRENAL GLANDS,2,1,1
A18.83,"TUBERCULOSIS OF DIGESTIVE TRACT ORGANS, NEC",15,4,11
A18.84,TUBERCULOSIS OF HEART,10,5,5
A18.89,TUBERCULOSIS OF OTHER SITES,11,6,5
A19.0,ACUTE MILIARY TUBERCULOSIS OF A SINGLE SPECIFIED SITE,3,1,2
A19.1,ACUTE MILIARY TUBERCULOSIS OF MULTIPLE SITES,16,8,8
A19.2,"ACUTE MILIARY TUBERCULOSIS, UNSPECIFIED",8,3,5
A19.8,OTHER MILIARY TUBERCULOSIS,22,5,17
A19.9,"MILIARY TUBERCULOSIS, UNSPECIFIED",183,57,126
A20.2,PNEUMONIC PLAGUE,1,,1
A20.7,SEPTICEMIC PLAGUE,2,,2
A20.9,"PLAGUE, UNSPECIFIED",5,,5
A21.0,ULCEROGLANDULAR TULAREMIA,1,,1
A21.7,GENERALIZED TULAREMIA,3,,3
A21.8,OTHER FORMS OF TULAREMIA,3,2,1
A21.9,"TULAREMIA, UNSPECIFIED",3,,3
A22.7,ANTHRAX SEPSIS,3,,3
A22.9,"ANTHRAX, UNSPECIFIED",1,,1
A23.0,BRUCELLOSIS DUE TO BRUCELLA MELITENSIS,7,3,4
A23.1,BRUCELLOSIS DUE TO BRUCELLA ABORTUS,1,1,
A23.8,OTHER BRUCELLOSIS,6,3,3
