ProcedureCode,ProcedureDesc,TotalProc,PrimaryProc,SecondProc
0016073,"BYPASS CEREB VENT TO BLOOD VESS W AUTOL SUB, OPEN",2,,2
00160J2,"BYPASS CEREB VENT TO ATRIUM WITH SYNTH SUB, OPEN APPROACH",17,8,9
00160J4,"BYPASS CEREB VENT TO PLEURAL CAV W SYNTH SUB, OPEN",17,6,11
00160J6,"BYPASS CEREB VENT TO PERITON CAV W SYNTH SUB, OPEN",1372,796,576
00160JB,"BYPASS CEREB VENT TO CEREB CISTERN W SYNTH SUB, OPEN",46,17,29
00160K6,"BYPASS CEREB VENT TO PERITON CAV W NONAUT SUB, OPEN",4,2,2
00160ZB,"BYPASS CEREBRAL VENTRICLE TO CEREB CISTERN, OPEN APPROACH",62,22,40
00163J2,"BYPASS CEREB VENT TO ATRIUM WITH SYNTH SUB, PERC APPROACH",9,6,3
00163J3,"BYPASS CEREB VENT TO BLOOD VESS W SYNTH SUB, PERC",2,1,1
00163J4,"BYPASS CEREB VENT TO PLEURAL CAV W SYNTH SUB, PERC",10,4,6
00163J6,"BYPASS CEREB VENT TO PERITON CAV W SYNTH SUB, PERC",890,558,332
00163JB,"BYPASS CEREB VENT TO CEREB CISTERN W SYNTH SUB, PERC",15,6,9
00163ZB,"BYPASS CEREBRAL VENTRICLE TO CEREB CISTERN, PERC APPROACH",23,11,12
00164J4,"BYPASS CEREB VENT TO PLEURAL CAV W SYNTH SUB, PERC ENDO",9,3,6
00164J6,"BYPASS CEREB VENT TO PERITON CAV W SYNTH SUB, PERC ENDO",274,171,103
00164JB,"BYPASS CEREB VENT TO CEREB CISTERN W SYNTH SUB, PERC ENDO",6,5,1
00164ZB,"BYPASS CEREB VENT TO CEREB CISTERN, PERC ENDO APPROACH",190,138,52
001U0J2,"BYPASS SPINAL CANAL TO ATRIUM WITH SYNTH SUB, OPEN APPROACH",1,,1
001U0J4,"BYPASS SPINAL CANAL TO PLEURAL CAV W SYNTH SUB, OPEN",9,6,3
001U0J6,"BYPASS SPINAL CANAL TO PERITON CAV W SYNTH SUB, OPEN",75,49,26
001U0K6,"BYPASS SPINAL CANAL TO PERITON CAV W NONAUT SUB, OPEN",1,1,
001U3J4,"BYPASS SPINAL CANAL TO PLEURAL CAV W SYNTH SUB, PERC",1,,1
001U3J6,"BYPASS SPINAL CANAL TO PERITON CAV W SYNTH SUB, PERC",33,27,6
001U4J6,"BYPASS SPINAL CANAL TO PERITON CAV W SYNTH SUB, PERC ENDO",2,1,1
0020X0Z,"CHANGE DRAINAGE DEVICE IN BRAIN, EXTERNAL APPROACH",7,1,6
0020XYZ,"CHANGE OTHER DEVICE IN BRAIN, EXTERNAL APPROACH",2,,2
002UX0Z,"CHANGE DRAINAGE DEVICE IN SPINAL CANAL, EXTERNAL APPROACH",2,1,1
002UXYZ,"CHANGE OTHER DEVICE IN SPINAL CANAL, EXTERNAL APPROACH",1,,1
00500ZZ,"DESTRUCTION OF BRAIN, OPEN APPROACH",23,11,12
00503ZZ,"DESTRUCTION OF BRAIN, PERCUTANEOUS APPROACH",15,9,6
00504ZZ,"DESTRUCTION OF BRAIN, PERCUTANEOUS ENDOSCOPIC APPROACH",2,1,1
00510ZZ,"DESTRUCTION OF CEREBRAL MENINGES, OPEN APPROACH",8,2,6
00514ZZ,"DESTRUCTION OF CEREBRAL MENINGES, PERC ENDO APPROACH",2,1,1
00520ZZ,"DESTRUCTION OF DURA MATER, OPEN APPROACH",7,1,6
00560ZZ,"DESTRUCTION OF CEREBRAL VENTRICLE, OPEN APPROACH",7,,7
00563ZZ,"DESTRUCTION OF CEREBRAL VENTRICLE, PERCUTANEOUS APPROACH",1,1,
00564ZZ,"DESTRUCTION OF CEREBRAL VENTRICLE, PERC ENDO APPROACH",25,5,20
00570ZZ,"DESTRUCTION OF CEREBRAL HEMISPHERE, OPEN APPROACH",8,6,2
00573ZZ,"DESTRUCTION OF CEREBRAL HEMISPHERE, PERCUTANEOUS APPROACH",13,12,1
00593ZZ,"DESTRUCTION OF THALAMUS, PERCUTANEOUS APPROACH",1,1,
005A0ZZ,"DESTRUCTION OF HYPOTHALAMUS, OPEN APPROACH",1,1,
005A3ZZ,"DESTRUCTION OF HYPOTHALAMUS, PERCUTANEOUS APPROACH",2,2,
005C0ZZ,"DESTRUCTION OF CEREBELLUM, OPEN APPROACH",11,8,3
005G0ZZ,"DESTRUCTION OF OPTIC NERVE, OPEN APPROACH",1,,1
005K3ZZ,"DESTRUCTION OF TRIGEMINAL NERVE, PERCUTANEOUS APPROACH",3,2,1
005M0ZZ,"DESTRUCTION OF FACIAL NERVE, OPEN APPROACH",1,,1
005M3ZZ,"DESTRUCTION OF FACIAL NERVE, PERCUTANEOUS APPROACH",1,,1
005Q0ZZ,"DESTRUCTION OF VAGUS NERVE, OPEN APPROACH",1,,1
005T0ZZ,"DESTRUCTION OF SPINAL MENINGES, OPEN APPROACH",1,,1
005W0ZZ,"DESTRUCTION OF CERVICAL SPINAL CORD, OPEN APPROACH",3,1,2
005W3ZZ,"DESTRUCTION OF CERVICAL SPINAL CORD, PERCUTANEOUS APPROACH",2,2,
005X0ZZ,"DESTRUCTION OF THORACIC SPINAL CORD, OPEN APPROACH",6,1,5
005X3ZZ,"DESTRUCTION OF THORACIC SPINAL CORD, PERCUTANEOUS APPROACH",1,1,
005Y0ZZ,"DESTRUCTION OF LUMBAR SPINAL CORD, OPEN APPROACH",3,,3
00760ZZ,"DILATION OF CEREBRAL VENTRICLE, OPEN APPROACH",2,,2
00763ZZ,"DILATION OF CEREBRAL VENTRICLE, PERCUTANEOUS APPROACH",1,1,
00764ZZ,"DILATION OF CEREBRAL VENTRICLE, PERC ENDO APPROACH",36,23,13
00800ZZ,"DIVISION OF BRAIN, OPEN APPROACH",16,8,8
00803ZZ,"DIVISION OF BRAIN, PERCUTANEOUS APPROACH",2,1,1
00870ZZ,"DIVISION OF CEREBRAL HEMISPHERE, OPEN APPROACH",4,3,1
00874ZZ,"DIVISION OF CEREBRAL HEMISPHERE, PERC ENDO APPROACH",1,,1
008G0ZZ,"DIVISION OF OPTIC NERVE, OPEN APPROACH",3,1,2
008K0ZZ,"DIVISION OF TRIGEMINAL NERVE, OPEN APPROACH",16,1,15
008K3ZZ,"DIVISION OF TRIGEMINAL NERVE, PERCUTANEOUS APPROACH",8,8,
008K4ZZ,"DIVISION OF TRIGEMINAL NERVE, PERC ENDO APPROACH",1,,1
008M0ZZ,"DIVISION OF FACIAL NERVE, OPEN APPROACH",13,3,10
008N0ZZ,"DIVISION OF ACOUSTIC NERVE, OPEN APPROACH",4,4,
008P0ZZ,"DIVISION OF GLOSSOPHARYNGEAL NERVE, OPEN APPROACH",3,1,2
008Q0ZZ,"DIVISION OF VAGUS NERVE, OPEN APPROACH",78,23,55
008Q3ZZ,"DIVISION OF VAGUS NERVE, PERCUTANEOUS APPROACH",3,,3
008Q4ZZ,"DIVISION OF VAGUS NERVE, PERCUTANEOUS ENDOSCOPIC APPROACH",29,7,22
008R0ZZ,"DIVISION OF ACCESSORY NERVE, OPEN APPROACH",2,,2
008S0ZZ,"DIVISION OF HYPOGLOSSAL NERVE, OPEN APPROACH",4,,4
008W0ZZ,"DIVISION OF CERVICAL SPINAL CORD, OPEN APPROACH",7,,7
008W3ZZ,"DIVISION OF CERVICAL SPINAL CORD, PERCUTANEOUS APPROACH",1,,1
008X0ZZ,"DIVISION OF THORACIC SPINAL CORD, OPEN APPROACH",9,1,8
008X3ZZ,"DIVISION OF THORACIC SPINAL CORD, PERCUTANEOUS APPROACH",1,1,
008Y0ZZ,"DIVISION OF LUMBAR SPINAL CORD, OPEN APPROACH",3,2,1
009000Z,"DRAINAGE OF BRAIN WITH DRAINAGE DEVICE, OPEN APPROACH",68,21,47
00900ZX,"DRAINAGE OF BRAIN, OPEN APPROACH, DIAGNOSTIC",25,12,13
00900ZZ,"DRAINAGE OF BRAIN, OPEN APPROACH",109,54,55
009030Z,"DRAINAGE OF BRAIN WITH DRAINAGE DEVICE, PERC APPROACH",34,12,22
00903ZX,"DRAINAGE OF BRAIN, PERCUTANEOUS APPROACH, DIAGNOSTIC",26,12,14
00903ZZ,"DRAINAGE OF BRAIN, PERCUTANEOUS APPROACH",31,23,8
009040Z,"DRAINAGE OF BRAIN WITH DRAINAGE DEVICE, PERC ENDO APPROACH",1,1,
00904ZZ,"DRAINAGE OF BRAIN, PERCUTANEOUS ENDOSCOPIC APPROACH",9,3,6
009100Z,"DRAINAGE OF CEREBRAL MENINGES WITH DRAIN DEV, OPEN APPROACH",8,1,7
00910ZX,"DRAINAGE OF CEREBRAL MENINGES, OPEN APPROACH, DIAGNOSTIC",1,,1
00910ZZ,"DRAINAGE OF CEREBRAL MENINGES, OPEN APPROACH",15,6,9
009130Z,"DRAINAGE OF CEREBRAL MENINGES WITH DRAIN DEV, PERC APPROACH",2,2,
00913ZX,"DRAINAGE OF CEREBRAL MENINGES, PERCUTANEOUS APPROACH, DIAGN",22,3,19
00913ZZ,"DRAINAGE OF CEREBRAL MENINGES, PERCUTANEOUS APPROACH",15,1,14
00914ZZ,"DRAINAGE OF CEREBRAL MENINGES, PERC ENDO APPROACH",5,4,1
009200Z,"DRAINAGE OF DURA MATER WITH DRAINAGE DEVICE, OPEN APPROACH",21,11,10
00920ZX,"DRAINAGE OF DURA MATER, OPEN APPROACH, DIAGNOSTIC",5,1,4
00920ZZ,"DRAINAGE OF DURA MATER, OPEN APPROACH",18,7,11
009230Z,"DRAINAGE OF DURA MATER WITH DRAINAGE DEVICE, PERC APPROACH",9,6,3
00923ZX,"DRAINAGE OF DURA MATER, PERCUTANEOUS APPROACH, DIAGNOSTIC",2,,2
00923ZZ,"DRAINAGE OF DURA MATER, PERCUTANEOUS APPROACH",1,,1
009300Z,"DRAINAGE OF CRAN EPIDUR SPC WITH DRAIN DEV, OPEN APPROACH",77,30,47
00930ZX,"DRAINAGE OF CRAN EPIDUR SPC, OPEN APPROACH, DIAGN",6,4,2
00930ZZ,"DRAINAGE OF INTRACRANIAL EPIDURAL SPACE, OPEN APPROACH",120,54,66
009330Z,"DRAINAGE OF CRAN EPIDUR SPC WITH DRAIN DEV, PERC APPROACH",16,4,12
00933ZX,"DRAINAGE OF CRAN EPIDUR SPC, PERC APPROACH, DIAGN",1,,1
00933ZZ,"DRAINAGE OF INTRACRANIAL EPIDURAL SPACE, PERC APPROACH",9,6,3
00934ZZ,"DRAINAGE OF INTRACRANIAL EPIDURAL SPACE, PERC ENDO APPROACH",1,1,
009400Z,"DRAINAGE OF CRAN SUBDUR SPC WITH DRAIN DEV, OPEN APPROACH",923,581,342
00940ZX,"DRAINAGE OF CRAN SUBDUR SPC, OPEN APPROACH, DIAGN",13,7,6
00940ZZ,"DRAINAGE OF INTRACRANIAL SUBDURAL SPACE, OPEN APPROACH",395,269,126
009430Z,"DRAINAGE OF CRAN SUBDUR SPC WITH DRAIN DEV, PERC APPROACH",1100,826,274
00943ZX,"DRAINAGE OF CRAN SUBDUR SPC, PERC APPROACH, DIAGN",17,2,15
00943ZZ,"DRAINAGE OF INTRACRANIAL SUBDURAL SPACE, PERC APPROACH",194,147,47
009440Z,"DRAIN OF CRAN SUBDUR SPC WITH DRAIN DEV, PERC ENDO APPROACH",11,8,3
00944ZZ,"DRAINAGE OF INTRACRANIAL SUBDURAL SPACE, PERC ENDO APPROACH",1,,1
009500Z,"DRAINAGE OF CRAN SUBRAC SPC WITH DRAIN DEV, OPEN APPROACH",11,4,7
00950ZZ,"DRAINAGE OF INTRACRANIAL SUBARACHNOID SPACE, OPEN APPROACH",24,7,17
009530Z,"DRAINAGE OF CRAN SUBRAC SPC WITH DRAIN DEV, PERC APPROACH",10,5,5
00953ZX,"DRAINAGE OF CRAN SUBRAC SPC, PERC APPROACH, DIAGN",1,,1
00953ZZ,"DRAINAGE OF INTRACRANIAL SUBARACHNOID SPACE, PERC APPROACH",1,,1
00954ZZ,"DRAINAGE OF CRAN SUBRAC SPC, PERC ENDO APPROACH",2,1,1
009600Z,"DRAINAGE OF CEREBRAL VENTRICLE WITH DRAIN DEV, OPEN APPROACH",1390,396,994
00960ZX,"DRAINAGE OF CEREBRAL VENTRICLE, OPEN APPROACH, DIAGNOSTIC",6,2,4
00960ZZ,"DRAINAGE OF CEREBRAL VENTRICLE, OPEN APPROACH",28,11,17
009630Z,"DRAINAGE OF CEREBRAL VENTRICLE WITH DRAIN DEV, PERC APPROACH",3737,1511,2226
00963ZX,"DRAINAGE OF CEREBRAL VENTRICLE, PERCUTANEOUS APPROACH, DIAGN",76,20,56
00963ZZ,"DRAINAGE OF CEREBRAL VENTRICLE, PERCUTANEOUS APPROACH",70,16,54
009640Z,"DRAINAGE OF CEREB VENT WITH DRAIN DEV, PERC ENDO APPROACH",76,30,46
00964ZX,"DRAINAGE OF CEREBRAL VENTRICLE, PERC ENDO APPROACH, DIAGN",2,,2
00964ZZ,"DRAINAGE OF CEREBRAL VENTRICLE, PERC ENDO APPROACH",28,17,11
009700Z,"DRAINAGE OF CEREB HEMIS WITH DRAIN DEV, OPEN APPROACH",77,29,48
00970ZX,"DRAINAGE OF CEREBRAL HEMISPHERE, OPEN APPROACH, DIAGNOSTIC",13,7,6
00970ZZ,"DRAINAGE OF CEREBRAL HEMISPHERE, OPEN APPROACH",130,77,53
